Rank,Product,Score,Tier,WH Store Name,WH Store URL,WH Store Rev/Day,WH Store Rev/Month,WH Active Ads,WH Countries,Source Cost,Sell Price,Margin,1688 Search Term,Startup Cost,Gap Analysis,Why Easy Win,Fails On
51,Red Light Pain Therapy Pad,10/12,TIER 1 MONSTER,NovaaLab,novaalab.com,"$30,960","$929,000",422,2,$10-20,$49.99-89.99,78-85%,红光理疗垫 / 红外线止痛仪,$1-3K,"ONLY 2 countries with 422 ads. Massive room to expand globally. Clinical branding — beat with emotional UGC","Proven $929K/mo. 2 countries = untapped global. Source from 1688","Source >$5, margin slightly lower"
52,Tooth Remineralization Powder,11/12,TIER 1 MONSTER,BBOJI (Dr. Jorgensen),Advertorial page — no direct store,"$10,244","$307,000",480,15,$1-3,$34.99-44.99,92-95%,牙齿矿化粉 / 珍珠牙粉 / 口腔修复粉,$500-1K,"BBOJI uses doctor advertorial. Underbrush ($226K/mo) only 1 country = WIDE OPEN globally","TWO stores $200K+. Powder cheap to source/ship. Consumable = repeat",
52,Tooth Remineralization Powder,11/12,TIER 1 MONSTER,Underbrush Gum (Nathan & Sons),nathanandsons.com,"$7,546","$226,000",54,1,$1-3,$34.99-44.99,92-95%,牙齿矿化粉 / 珍珠牙粉 / 口腔修复粉,$500-1K,"Only 54 ads in 1 country doing $226K/mo. Clone for English global markets","54 ads in 1 country = massive scaling potential. Beat with cleaner DTC brand",
53,Astaxanthin Supplement,11/12,TIER 1 MONSTER,Rovina (Susan's Wellness),Advertorial page — no direct store,"$10,368","$311,000",,,,$3-7,$39.99-49.99,85-90%,虾青素胶囊 / 天然虾青素12mg,$1-2K,"Uses blog/advertorial pages. No strong DTC brand owns this space","$311K/mo with generic branding = massive upside for real brand. Consumable",
54,TECA Anti-Aging Cream,10/12,TIER 1 MONSTER,NeuroGlow Wellness,Advertorial page — no direct store,"$10,400","$312,000",,,,$2-5,$39.99-54.99,90-95%,积雪草面霜 / TECA修复面霜 / 抗衰面霜,$500-1.5K,"Aggressive supplement-style marketing. Beat with K-beauty inspired clean packaging + UGC","$312K/mo. Cream = high perceived value cheap to source. Women 35-55 = proven Meta audience",
55,Vertigo/Dizziness Relief Supplement,11/12,TIER 1 MONSTER,Brizo,Advertorial page — no direct store,"$10,304","$309,000",60,5,$3-7,$39.99-49.99,85-90%,眩晕保健品 / 耳石症营养胶囊,$1-2K,"60 ads across 5 countries = efficient but not scaled. NOBODY else in this niche","$309K/mo with 60 ads! Niche wide open. Older demo = high LTV. Consumable",
56,Portable Neck & Shoulder Massager,9/12,TIER 2 BIG,Asgord,asgord.com,"$9,546","$286,000",21,3,$8-15,$49.99-69.99,78-85%,颈肩按摩器 / 电动颈部揉捏按摩仪,$1-2K,"$286K/mo with ONLY 21 ads across 3 countries = insane efficiency. Massive untapped potential","21 ads = barely scratched surface. Couples/gift angle","Source >$5, not consumable"
57,Hair Volume Spray/Powder,9/12,TIER 2 BIG,MHE Boost,mhelifestyle.co,"$27,368","$821,000",283,17,$2-5,$34.99-44.99,90%+,头发增发粉 / 蓬松发量喷雾,$500-1K,"MHE main product is TadalaPro. Hair volume line is secondary. NOBODY owns dedicated hair volume DTC","Massive market. Women's thinning hair = emotional. Consumable. TikTok before/after","Competitive in general"
58,Blood Pressure Supplement,10/12,TIER 2 BIG,Steven Finnigan page,Advertorial page — no direct store,"$25,897","$777,000",72,18,$3-7,$39.99-54.99,85-90%,降血压保健品 / 辅酶Q10心脏保健胶囊,$1-3K,"$777K/mo with ONLY 72 ads across 18 countries. Uses advertorial style. Beat with cleaner DTC","Massive rev from minimal ads. 60+ demo has money. Consumable = lifetime customer","Regulatory sensitivity"
59,Nerve Pain / Neuropathy Supplement,10/12,TIER 2 BIG,Dr. Allison M. Blake page,Advertorial page — no direct store,"$11,340","$340,000",66,4,$3-7,$44.99-59.99,85-90%,神经痛保健品 / 周围神经修复营养素,$1-3K,"66 ads in 4 countries but $340K/mo. Alt to gabapentin angle is POWERFUL. No DTC brand owns this","Pain = #1 purchase motivator. Older demo. High willingness to pay. Consumable","Regulatory — can't claim to replace Rx"
60,Blood Sugar / Diabetes Supplement,10/12,TIER 2 BIG,Natural Wellness Daily,Advertorial page — no direct store,"$6,594","$198,000",177,17,$3-7,$39.99-49.99,85-90%,血糖控制保健品 / 苦瓜铬胶囊,$1-2K,"$198K/mo across 17 countries with 177 ads. Blog/advertorial pages. Beat with DTC brand + A1C angle","37M Americans with diabetes. Lifetime customers. Consumable. High urgency",
61,Cat Health Supplement,9/12,TIER 2 BIG,Feline Health Institute,Advertorial page — no direct store,"$14,592","$438,000",,,,$2-5,$29.99-39.99,88-92%,猫咪益生菌 / 宠物免疫保健品,$500-1.5K,"$438K/mo MASSIVE for pet supplements. Fear-based advertorial. Beat with cleaner vet-endorsed brand","Pet owners spend irrationally on health. Emotional. Consumable. Repeat","Not human health product"
62,Couples Massager Device (16-Head),8/12,TIER 2 BIG,Healthism Life,healthism-life.com,"$7,394","$222,000",310,18,$8-15,$49.99-69.99,75-85%,多头按摩器 / 电动全身按摩仪,$1-2K,"310 ads across 18 countries — established. But couples angle is UNIQUE. Clone with better branding","Gift angle = seasonal spikes + evergreen. High perceived value","Source >$5, not consumable"
63,Natural Hair Inhibitor Spray,10/12,TIER 2 BIG,Caramela Beauty,official-velora.com,"$12,591","$378,000",8,2,$1-3,$29.99-39.99,92-95%,抑毛喷雾 / 天然脱毛抑制剂,$500-1K,"$378K/mo with ONLY 8 ADS in 2 countries!!! Barely scaled. MASSIVE room for competition","8 ads = barely any competition. Women's beauty = huge TAM. Consumable. Summer boost",
64,Men's Vitality Spray,8/12,TIER 3 VALIDATED,MHE Supplements (TadalaPro),mhelifestyle.co,"$27,368","$821,000",283,17,$2-5,$49.99,90%+,男性活力喷雾 / 口腔吸收增强喷雾,$1-3K,"$821K/mo MONSTER. Regulatory risk HIGH. Beat with natural alternative (tongkat ali + maca spray)","MASSIVE demand proves market. Natural version is safer play","Regulatory minefield"
65,Oral Health Probiotic Lozenge,11/12,TIER 3 VALIDATED,ODALIT (Dr. Jorgensen),Advertorial page — no direct store,"$10,244","$307,000",480,15,$2-5,$34.99-44.99,88-92%,口腔益生菌含片 / 牙龈修复含片,$500-1.5K,"ODALIT uses Dr. authority pages. Oral probiotic niche EXPLODING on TikTok. No clean DTC dominates","Post-ProDentim market is educated but brand-less. Consumable. Dental = universal",
66,Ultrasonic Pest Repeller,9/12,TIER 3 VALIDATED,Brezani,brezani.com,"$4,125","$124,000",3,1,$3-8,$34.99-49.99,85-90%,超声波驱虫器 / 电子驱鼠器,$500-1K,"$124K/mo with ONLY 3 ADS in 1 country. Barely tested. MASSIVE scaling potential","3 ads = wide open. Every homeowner needs it. Year-round. Multi-pack upsell","Below $150K, Amazon-able"
67,Wool Pressing Mat (Sewing),8/12,TIER 3 VALIDATED,Love Sew,love-sew.com,"$2,576","$77,000",118,5,$5-10,$34.99-49.99,75-85%,羊毛烫布垫 / 熨烫毡垫,$500-1K,"Niche but passionate sewing/quilting community. Low Meta competition","Loyal + repeat buyers. Passionate community spends heavily","Below $150K, niche audience"
68,IBS / Gut Bloating Supplement,10/12,TIER 3 VALIDATED,Aaliyah Jackson page,Advertorial page — no direct store,"$4,960","$149,000",434,18,$3-7,$39.99-49.99,85-90%,肠易激综合征益生菌 / 消胀气胶囊,$1-2K,"$149K/mo across 18 countries with 434 ads. Embarrassing story ads. Beat with gastro-endorsed brand","25-45M Americans with IBS. Extreme urgency. Consumable. Repeat",
69,Men's Health Combo Stack,10/12,TIER 3 VALIDATED,Dr. Michael Carter page,Advertorial page — no direct store,"$10,621","$319,000",36,13,$5-10,$49.99-64.99,82-88%,男性综合保健胶囊 / 鹿茸玛卡胶囊,$1-3K,"$319K/mo with ONLY 36 ads across 13 countries. Combo stack = genius. Beat with cleaner branding","36 ads = barely scaled. Men's health EXPLODING. Combo = higher AOV. Consumable",
