#,Product,Score,Tier,Clone Ease (1-5),Top Store,Store URL,Verified Rev/Mo,Active Ads,Countries,Source Cost,Sell Price,Margin,Consumable?,Startup Cost,1688 Search Term,Gap Summary
1,Ear Seeds,12/12,SHARK,5/5,NordicEase / ShopPurriva,nordicease.dk / shoppurriva.com,"$219K (Danish) / $69K (English)","191 / 3","2 / 2","$0.50-2","$39.99-49.99",92-96%,YES,$500-1K,耳穴压豆贴 / 耳穴贴,"NordicEase = DANISH ONLY. ShopPurriva = 4/10 UI + fake reviews. English market EMPTY. #1 opportunity"
2,Anti-Snoring Mouthpiece,11/12,DOLPHIN,4/5,Trevalisse,trevalisse.com,$358.8K,25,4,"$0.80-1.50",$39.99,96%,No,$300-800,防打鼾牙套 / 止鼾器,"$358K/mo with 4/10 UI + 25 ads. Beat with better branding. ZComfort is bigger but beatable"
3,Pheromone Perfume,11/12,DOLPHIN,4/5,Venom Scents,venomscent.com,$129.4K,"1,656",17,"$3-8","$40-60",88%,YES,$500-1.5K,费洛蒙香水,"1656 ads but emotional niche. Desiros is Italian only = clone for English. High repeat"
4,Tuning Fork Therapy,11/12,DOLPHIN,4/5,Tontherapyco,tontherapyco.com,Small (est),Low,1,"$5-8",$55,85-90%,No,$500-1.5K,音叉疗愈套装 / 铝合金音叉,"Almost ZERO competition. Sound healing + ASMR = triple trend. Insane margin $5→$55"
5,Testosterone Booster,11/12,DOLPHIN,3/5,PrimalStorm,primal-storm.com,$401.8K,2,—,"$3-7",$58,88-95%,YES,$1-3K,睾酮增强补充剂 / 男性保健胶囊,"$401K/mo with ONLY 2 ADS!!! Most efficient store found. Wide open for competition"
6,Scent Diffuser Necklace,11/12,DOLPHIN,5/5,No dominant store,—,Unverified,Low,—,"$1-3","$35-45",90-95%,YES,$300-800,香薰项链 / 精油扩香项链,"NO DTC brand at all. $1→$45 margin. Gift angle = year-round. TikTok viral"
7,Faith Jewelry,10/12,STRONG,4/5,Hope Rings,hoperings.com,$201.6K,"1,898",9,"$1-3","$29.95-39.99",93-95%,No,$300-800,不锈钢刻字戒指 / 感恩信仰戒指礼盒,"Hope Rings = 1.7/5 Trustpilot FRAUD. Easy beat on quality + trust"
8,Skin Tag Remover,10/12,STRONG,4/5,Vora (TagBuddy),tryyvora.com,Unverified,Medium,1,"$3-7",$39.98,70-80%,YES,$500-1K,疣赘去除器 / 皮肤标签去除笔,"Small niche leader. Before/after = TikTok gold. Refill bands = recurring"
9,Ice Face Roller,10/12,STRONG,5/5,Contour Cube,contourcube.com,Unverified,234,3,"$1-3","$30-40",90-95%,No,$300-600,冰球美容仪 / 面部冰敷器,"Established but beatable. $1 source → $35 sell. BeautyTok trending"
10,Bible Verse Jar,10/12,STRONG,5/5,God Is Above,godisabove.com,$150K est,"1,988",19,"$2-3",$38.99,92%,Partial,$200-500,圣经经文罐 / 木制格言卡片瓶,"1988 ads in 19 countries BUT only Christian. Quran/Buddhist/Gratitude = EMPTY"
11,Heatless Curling Rod,10/12,STRONG,4/5,Heatless Hair,heatlesshair.com,Unverified,Medium,1,"$1-3","$25-35",88-92%,No,$300-600,不伤发卷发器 / 海绵卷发棒,"Fragmented market. Before/after overnight curl = viral format"
12,Tinnitus Relief,10/12,STRONG,3/5,Seraphina,seraphina.com,Unverified,37,1,"$5-12","$40-60",80%,No,$500-1.5K,耳鸣缓解设备 / 耳鸣治疗仪,"37 ads doing $2.9K/day est. Desperation buy = high conversion. 15% of population"
13,Jawline Exerciser,10/12,STRONG,4/5,Jawliner,jawliner.com,Unverified,283,18,"$1-3","$30-50",90-95%,YES,$300-800,下颌训练器 / 面部锻炼器,"283 ads across 18 countries. Looksmaxxing trend. Silicone wears out = repeat"
14,Lash Lift Kit,10/12,STRONG,4/5,LuxeCosmetics,luxecosmetics.nl,Unverified,475,6,"$0.90-5",$43,85-92%,YES,$500-1K,睫毛翘烫套装,"475 ads DUTCH brand = clone for English. Kit refills every 6-8 uses"
15,Acupressure Slippers,10/12,STRONG,4/5,BYRIVER,byriver.com,Unverified,Low,1,"$2-5","$30-40",85-90%,No,$300-600,穴位按摩拖鞋 / 旋转按摩拖鞋,"No dominant DTC brand. Reaction videos = funny + health content"
16,Peeling Serum,10/12,STRONG,3/5,Anua (K-beauty),anua.us,Unverified,Medium,5+,"$4-5","$25-35",81-85%,YES,$500-1.5K,去角质精华液 / 果酸焕肤精华,"K-beauty leaders exist but no English DTC 'glass skin' brand"
17,Titanium Pan,10/12,STRONG,2/5,TitanioPuro,titaniopuro.it,Unverified,641,3,"$6-12",$108,81-86%,No,$1-3K,钛涂层铝煎锅 / 不粘钛合金锅,"Italian ONLY 641 ads. 3.0 Trustpilot. Clone for English. Higher AOV but higher source cost"
18,Magnetic Eyelashes,9/12,VALID,4/5,By Sabrina,eyelashesbysabrina.com,Unverified,Medium,1,"$1-3","$30-40",90%+,YES,$300-600,磁铁假睫毛套装 / 磁性假睫毛,"Fragmented market. $1→$35. Reusable 60x angle. Demo videos = viral"
19,Posture Corrector,9/12,VALID,3/5,PostureBacking,posturebacking.myshopify.com,Unverified,Low,1,"$3-8","$30-50",80-85%,No,$300-800,矫正带 / 背部姿势矫正器,"$1.5B market 8.1% CAGR. WFH driving demand. Need better brand than generics"
20,Lymphatic Face Brush,9/12,VALID,5/5,Lymphora,lymphora.no,$66K est,Low,1,"$0.50-3",$27,81-93%,No,$200-500,刮痧板 / 面部淋巴刷,"Norwegian small brand. Clone for English. Lymphatic drainage trending"
21,Mouth Tape for Sleep,12/12,SHARK,5/5,CoreLifeNaturals,corelifenaturals.com,$198K,—,—,"$0.30-1","$19.99-29.99",95%+,YES,$200-500,闭口呼吸贴 / 睡眠封口贴 / 防打鼾闭口贴,"$198K/mo generic branding. Hostage Tape $500K+ but premium. Room for $15-20 value brand. +1125% growth"
22,Tallow Cream / Beef Tallow Balm,12/12,SHARK,5/5,Sky&Sol,skyandsolbeauty.com,$277.6K,821,4,"$1-3","$29.99-39.99",90-95%,YES,$300-800,牛脂面霜 / 草饲牛油护肤膏,"$277K/mo + Le Skin Club $194K/mo. +8500% growth. Ancestral skincare EXPLODING. No branded leader"
