Product,Category,Supplier Name,Chinese Name,Location,Website,Alibaba/MIC URL,Years in Business,Factory Size,Certifications,MOQ,Price Range (USD),Specialization,Legitimacy,Contact,Red Flags,Priority,Notes
Cyperus Rotundus Oil,Raw Oil,Jiangxi Baicao Pharmaceutical,江西百草药业有限公司,"Ji'an, Jiangxi",jxbaicao.com,baicao.en.alibaba.com,Est. 2012 (14 yrs),"28,600 sqm GMP; 6 oil lines","GMP, ISO 9001, FDA","1 kg - 1,000 kg","$80-150/kg bulk",Steam-distilled essential oils; pharma/food/perfume grade,VERIFIED,"Susan Meng: 13617961269, susan@jxhcxl.com; sales@jxhcxl.com",None,TOP PICK RAW,Offers OEM/ODM; provides MSDS + COA; 1-week delivery
Cyperus Rotundus Oil,Raw Oil,Jiangxi HaiRui Natural Plant,江西海瑞天然植物有限公司,"Ji'an, Jiangxi",en.jxhairui.com / hairuiessentialoil.com,hairuijxzw.en.alibaba.com,Est. 2006 (18+ yrs),"15,000 sqm; 2,000 tons/year","FDA, ISO 9001, AAA Grade","1 kg; bulk from 25 kg","$100-140/kg bulk",Dedicated cyperus rotundus oil (CAS: 68916-60-9); also onion hair oil,VERIFIED,+86 18879697105,None,TOP PICK RAW,High-tech enterprise; ¥56M investment; AAA Credit Rating
Cyperus Rotundus Oil,Raw Oil,"Ji'an Zhongxiang Natural Plants",吉安众香天然植物有限公司,"Ji'an, Jiangxi",,zhongxiangoil.en.alibaba.com,Multi-year Alibaba,,Alibaba Verified; #1 Body Care class,1 kg,~$135/kg,"Essential oils, carrier oils, hydrosols, plant extracts",VERIFIED,Via Alibaba,None,GOOD,"Own planting base + distillation; dust-free cosmetic rooms; OEM"
Cyperus Rotundus Oil,Raw Oil,Ji'an Borui Spice Oil,吉安博瑞香料油有限公司,"Ji'an, Jiangxi",,brxl.en.alibaba.com,20+ years,"2,000 sqm; CO2 extraction",Multiple B2B platforms,Varies,"$115-130/kg",Natural essential oils for medical + cosmetics,VERIFIED,Via Alibaba (avg response <=2 hrs),Smaller facility,GOOD,Higher sesquiterpene concentrations; direct farm partnerships
Cyperus Rotundus Oil,Finished Product,KOEC Beauty / YaLiSi Cosmetics,广州雅丽丝化妆品有限公司,"Guangzhou, Guangdong",koecbeauty.com / koecbeautyoem.com,,Est. 2000 (25+ yrs),,"US FDA GMP","200-500 units (OEM est.)","$2-5/unit (60ml)",Already makes cyperus hair inhibitor oil; hyaluronic acid serums,VERIFIED,+8618027313074; official@koecbeautyoem.com,OEM site is separate from retail,TOP PICK FINISHED,Amazon brand Beautivana KOEC; 25+ years factory operation
Cyperus Rotundus Oil,Finished Product,Metro Private Label,,"Near Guangzhou",metroprivatelabel.com,,~10+ years,,"ISO 22716, GMPC; US/EU/GCC","1,000 units","$1.50-4/unit",Private label skincare incl. cyperus oil; sheet masks; retinol,MODERATE,info@metroprivatelabel.com,No Alibaba/MIC profile; vague factory address,VERIFY FIRST,Claims 15% cheaper than Alibaba; full compliance support
Cyperus Rotundus Oil,Finished Product,Guangzhou Meidishi Biotechnology,广州美蒂仕生物科技有限公司,"Guangzhou, Guangdong",,gzmds.en.alibaba.com; mds-cosmeic.en.made-in-china.com,~8 years,"10,000 sqm; 8 lines; 150 workers","MSDS, GMP, ISO","100 stock / 200 OEM","$1.50-3.50/unit (60ml)",Cyperus oil hair removal; tanning products; body lotions,VERIFIED,Via Alibaba/MIC,Relatively newer,GOOD LOW MOQ,Lowest OEM MOQ (200 pcs); products in 57 countries
Cyperus Rotundus Oil,Raw Oil,Richtek Ltd,,Liaoning,,Listed on Alibaba,~4 years Alibaba,,"Kosher, ISO 22000, ISO 9001, HALAL",Not specified,"$80-130/kg bulk",100% pure cyperus aromatherapy essential oil,MODERATE,Via Alibaba,New on Alibaba; not in Jiangxi oil hub,BACKUP,OEM/ODM with custom packaging; 3-year shelf life
Holy Basil Bubble Mask,OEM,Guangzhou Xujohn Bio-Technique,广州旭绅生物科技有限公司,"Guangzhou, Guangdong",xujohncosmetic.com / xujohn.com,made-in-china.com/showroom/skincareoem,Est. 2015,"50,000 sqm; 8 auto lines; 21 filling machines","GMPC, ISO 22716, ISO 9001, SEDEX, BSCI, BRC, FDA, CE",500+ pcs,"$1.50-3.00/unit",Bubble mask (Model BCM7-01); facial/eye/lip masks; baby skincare,HIGHLY VERIFIED,Via website/MIC,None,TOP PICK,Best certifications (BRC+SEDEX+BSCI = intl audit standards); has specific bubble mask line
Holy Basil Bubble Mask,OEM,Guangzhou Amarrie Cosmetics,广州阿玛瑞化妆品有限公司,"Guangzhou, Guangdong",amarrie.com,amarrie.en.alibaba.com; amarriecosmetics.en.made-in-china.com,Est. 2011,"50,000 sqft","ISO 9001, CGMP, ISO 22716, SGS, FDA, GMPC",120 pcs,"$1.00-2.50/unit",Carbonated bubble clay mask; face serums; blackhead masks,VERIFIED,amarrie.com,"Claims 20+ yrs but est. 2011",BEST LOW MOQ,"Lowest MOQ (120 pcs!); FDA registered; great for testing"
Holy Basil Bubble Mask,OEM,Guangzhou Xiran Cosmetics,广州禧然化妆品有限公司,"Guangzhou, Guangdong",xiranskincare.com / xirancosmetics.com,xiran.en.alibaba.com; gzxiran88.en.made-in-china.com,Est. 2013,"20,000 sqm; 12 production lines","US GMP, ISO 22716, BSCI, FDA","100-1,000 pcs","$1.26/pc",Bubble deep clean mask; serums; essential oils; hair masks,VERIFIED,Via website/Alibaba,None,BEST PRICE,Patented formulas; 8 R&D engineers; Private Label Bubble Deep Clean Mask product
Holy Basil Bubble Mask,OEM,Guangzhou Yilong Daily Chemicals,广州亿龙日化有限公司,"Guangzhou, Guangdong",,gzyilong.en.alibaba.com; gzyilong.en.made-in-china.com,Est. 2004 (20+ yrs),250 employees,"GMP, COA, MSDS, ISO 9001, ISO 22716",500 pcs,"$2.35/pc (100g)",Carbonated bubble clay mask; antiperspirant; shampoo,VERIFIED,Via Alibaba/MIC,None,GOOD,20+ years; near Baiyun Airport; bamboo charcoal bubble mask
