ID,Business Name,Website,Category,Niche,Revenue/Day (USD),Revenue/Month (USD),Revenue/Year (USD Est),Sell Price (USD),Source Cost (USD),Margin %,Active Ads,Days Running,Countries,SKUs/Products,Shopify?,UI/UX Score,Trustpilot Rating,Trustpilot Reviews,Monthly Visits,Target Gender,Target Age,Marketing Channels,Distribution,Subscription?,POD?,Ali Akbar Tier,Threat Level,Beatable?,Key Weakness,Key Opportunity,1688 Search Term,Source CSV,Opportunity Rank,Score /100,Tier
1,NordicEase,nordicease.dk,Health/Wellness,Ear Seeds,$7300,$219000,$2700000,$58,$0.50-2,91-96%,191,Unknown,2,10-12,YES,8/10,4.0/5,87,Unknown,Women,25-55,Meta Ads + Trustpilot,Own site. Small Danish operation. No IG found,No,No,S-SHARK,NONE in English,CLONE for English,DANISH ONLY. Zero English. Small-scale operation,Model to clone: $58 price + clean branding + Meta ads. English market WIDE OPEN,耳穴压豆贴 / 耳穴贴,MEGA-30 + 5-NICHE + EAR-SEEDS,1,95,Super Easy Win
2,ShopPurriva,shoppurriva.com,Health/Wellness,Ear Seeds,$5661,$170000,$2040000,$24.99,$0.50-2,92-96%,3,Unknown,2,~1,YES,4/10,Not found,0,Unknown,Women,25-50,Meta Ads (3 only),Own site. No social media found. Claims 137K reviews ON SITE (FAKE),No,No,S-SHARK,LOW,YES,TERRIBLE UI. Test store. ChatGPT favicon. FAKE review count (137K). No social presence,Only 3 ads $5.7K/day. Easy to crush with proper branding,耳穴压豆贴,5-NICHE + EAR-SEEDS,1,95,Super Easy Win
3,Ease Store,ease-store.com,Health/Wellness,Ear Seeds,$500 est,$15000 est,$180000 est,$59.99,$2-5,92-97%,3,Brand new,1,~1,YES,4/10,Unknown,Unknown,Unknown,Women,25-50,Meta Ads (3 only),Own site,No,No,B-MINNOW,NONE,YES,Brand new bad UI same operator as Purriva,Testing $59.99 price = market supports higher pricing,穴位按压器,5-NICHE + EAR-SEEDS,1,95,Super Easy Win
4,Trevalisse,trevalisse.com,Health,Anti-Snoring,$9559,$287000,$3440000,$39.99,$0.80-1.50,96%,25,Unknown,4,~1,YES,4/10,Unknown,Unknown,Unknown,Unknown,Unknown,Meta Ads,Own site,No,No,S-SHARK,LOW,YES,$9.5K/day with 25 ads AND terrible 4/10 UI,Copied theme from massage gun store. ChatGPT content. Easy beat,防打鼾牙套,5-NICHE,2,93,Super Easy Win
5,Natasha Scents,natashaknowsscents.com,Beauty/Fragrance,Pheromone Perfume,$8840,$265000,$3180000,$40-60,$3-8,88%,56,250,12,Unknown,YES,Unknown,Not found,0,Unknown,Women,Unknown,Meta Ads (ONLY 56!),Own site. ZERO social media found anywhere. Very mysterious store,No,No,S-SHARK,LOW,YES,56 ads doing $8.8K/day! No social presence at all. May use TikTok Shop or influencer,Pheromone perfume massive gap. Easiest to outspend,费洛蒙香水,MASTER-WINNERS,3,88,Super Easy Win
6,PrimalStorm,primal-storm.com,Health/Supplements,Testosterone Booster,$13752,$412000,$4950000,$58,$3-7,88-95%,2,Unknown,1,Unknown,YES,Unknown,Unknown,Unknown,Unknown,Men,Unknown,Meta Ads,Own site,Yes (consumable),No,S-SHARK,LOW,YES,Only 2 ads!,Men's test booster — wide open,睾酮增强补充剂,MEGA-30,4,87,Super Easy Win
7,Hope Rings,hoperings.com,Jewelry/Gifts,Inspirational Rings,$14336,$430000,$5160000,$39.99,$1-3,95%,1898,474,9,Unknown,YES,Unknown,1.7/5,52,Unknown,Women,Unknown,Meta Ads + Google,Own site,No,No,S-SHARK,MEDIUM,YES,FRAUD: 1.7/5 Trustpilot 82% 1-star! Tarnishing + broken items. IG 64K FB 77K,Expand: To My Mom/Daughter/Friend. Holiday targeting. Easy to beat on quality,不锈钢戒指礼盒,MASTER-WINNERS,5,86,Super Easy Win
8,Worthy Always,worthyalways.com,Jewelry/Faith,Faith Jewelry,$4243,$127000,$1530000,$29.95,$1-3,93%,438,150+,17,Unknown,YES,Unknown,Not found,0,Unknown,Women,Unknown,Meta Ads + Social,Own site,No,No,A-DOLPHIN,LOW,YES,Needs more UGC,Faith jewelry. Harper's Bazaar/Vogue trust badges,感恩项链礼盒,MASTER-WINNERS,5,86,Super Easy Win
9,God Is Above,godisabove.com,Faith/Gifts,Bible Verse Jar,$5000,$150000,$1800000,$38.99,$2-3,92%,1988,110+,19,Unknown,YES,Unknown,4.1/5,439,Unknown,Both,Unknown,Meta Ads + Google,Own site,No,No,A-DOLPHIN,MEDIUM,YES,$2-3 → $39 = 92% margin! IG 42K. Claims 100K+ customers,Expand: Quran/Buddhist/Gratitude jars,圣经经文罐,MASTER-WINNERS + POD,6,85,Super Easy Win
10,TitanioPuro,titaniopuro.it,Kitchen/Cookware,Titanium Pan,$16100,$483000,$5800000,$108,$6-12,81-86%,641,28,3,Unknown,YES,7/10,3.0 (scam flags),Low,1800,Men & Women,All,Meta Ads (Italy only),Own site,No,No,A-DOLPHIN,LOW,YES,Italian only 26 ads + scam Trustpilot,Real cooking demos; expand to DE/ES/PT,钛涂层铝煎锅,MEGA-30 + TOP-20 + MASTER,7,84,Super Easy Win
