Rank,Product,Score,Store #,Store Name,Store URL,Rev/Day,Rev/Month,Rev/Year Est,Active Ads,Countries,Days Running,Product Price,Est Product Rev,Data Source,Threat Level,Beatable?,Notes
1,Ear Seeds,12/12,1,ShopPurriva,shoppurriva.com,"$2,310","$69,300","$831,600",3,2,,,$24.99,,WH Verified,LOW,YES — EASY KILL,"Bad UI 4/10, fake 137K reviews, test store quality"
1,Ear Seeds,12/12,2,NordicEase,nordicease.dk,,"$219,000","$2,628,000",191,2,,,DKK 399 (~$58),,WH Verified,NONE in English,CLONE for English,"DANISH ONLY, 8/10 UI, clean branding — model to clone"
1,Ear Seeds,12/12,3,Auricle Ear Seeds,auricleearseeds.com,,,,Low,1,,,,,Web Research,LOW,Study messaging,"Small DTC brand, clean branding, no paid ads visible"
2,Anti-Snoring Mouthpiece,11/12,1,Trevalisse,trevalisse.com,"$11,960","$358,800","$4,305,600",25,4,37,$39.99,,WH Verified,MEDIUM,YES — EASY KILL,"4/10 UI, copied theme, but $12K/day revenue proves demand"
2,Anti-Snoring Mouthpiece,11/12,2,ZComfort,zcomfort.co,,,"","542",14,171,$39.99,"$317,800",WH Verified,HIGH,Hard — big operation,"14 countries, 542 ads, $317.8K product rev, 171 days running"
2,Anti-Snoring Mouthpiece,11/12,3,Good Morning Snore Solution,goodmorningsnoresolution.com,,,,Low,1,,,,,Web Research,LOW,Study authority angle,"Established brand, premium positioning, not DTC aggressive"
3,Pheromone Perfume,11/12,1,Venom Scents,venomscent.com,"$4,312","$129,360","$1,552,320","1,656",17,242,,,WH Verified,HIGH,Compete on angle,"#1 REAL player — 1656 ads, 17 countries, 242 days. Replaced Natasha Scents"
3,Pheromone Perfume,11/12,2,Desiros,desiros.me,"$3,245","$97,350","$1,168,200",465,4,130,€59.99,"$111,000",WH Verified,MEDIUM,YES — Italian only,"ITALIAN ONLY ads, €59.99 price, clone for English market"
3,Pheromone Perfume,11/12,3,Natasha Scents,natashaknowsscents.com,,,,0,0,,,,,WH — NOT FOUND,UNKNOWN,GHOST STORE,"NOT found on WinningHunter — zero active ads, ghost store mystery"
4,Tuning Fork Therapy,11/12,1,Tontherapyco,tontherapyco.com,,,,Low,1,,,$55,,Web Research,LOW,YES — small store,"Small Shopify store, $55/set, 85-90% margin, low competition"
4,Tuning Fork Therapy,11/12,2,Biofield Tuning Store,biofieldtuningstore.com,,,,Low,1,,,,,Web Research,LOW,Study model,"Premium tuning forks + training courses, established practitioner brand"
