Product,Supplier Name,Platform,Price (CNY),Price (USD Est),MOQ,Location,Sales Volume,Certifications,OEM/ODM,Contact/URL,Priority,Notes
MOUTH TAPE,HLK Tape (Quanzhou Honglinkai),Alibaba Intl,¥0.21-0.43/strip,$0.03-0.06/strip,10 pcs (test),Quanzhou Fujian,,ISO 13485 / ISO 9001 / CE / FDA / TGA,Yes,cnhlk.en.alibaba.com,#1 FOR SAMPLES,"Lowest MOQ. Free samples ($20-35 shipping). Dedicated project manager."
MOUTH TAPE,Anji Anshen (Anthrive),Alibaba Intl,¥0.29-0.57/strip,$0.04-0.08/strip,1 carton,Huzhou Zhejiang,,CE MDR / ISO 13485 / FDA (TUV-verified),Yes,anthrive.en.alibaba.com,#2 STRONGEST CREDS,"40000m2 factory. 50+ patents. Cleanroom production. 30+ yrs."
MOUTH TAPE,Viva Tape,Alibaba Intl,Ask,Ask,500 packs,Yiwu / Shenzhen,,ISO 13485 / ISO 9001 / TGA / FDA / CE,Yes,contact@vivatape.com,#1 FOR BIOACTIVE,"Already does silicone + skincare infusion (HA). 2M pcs/day capacity."
MOUTH TAPE,Hebei Kangcare (Kongdy),Alibaba Intl,¥0.29-0.36/strip,$0.04-0.05/strip,"2000-5000 pcs",Shijiazhuang Hebei,,ISO / CE / FDA / MSDS / SGS,Yes,kangcare.en.alibaba.com,#2 FOR BIOACTIVE,"HA + Collagen mouth tape confirmed. 24/7 English support."
EAR SEEDS,山西水泉医疗器械,1688.com,¥18.00/600pcs,$2.50/600pcs,Not specified,"Shanxi",10202 sold,,Yes (OEM),tw.1688.com,TOP SELLER,"600-piece multi-functional ear patches. 12 reviews. Best seller on 1688."
EAR SEEDS,Chaozhou Supplier (unnamed),1688.com,¥0.77/unit,$0.11/unit,Not specified,"Chaozhou Guangdong",52120+ sold,,Yes,tw.1688.com,HIGHEST VOLUME,"Water-resistant. 52K+ units sold. Cheapest option."
EAR SEEDS,洪盛医疗器械 (Hong Sheng Medical),1688.com,¥2.84/600pcs,$0.39/600pcs,Not specified,Not specified,2772 sold,,Yes,tw.1688.com,GOOD VALUE,"Premium 600-piece acupressure patches. 14 reviews."
EAR SEEDS,Wujiang Shenlong Medical,Alibaba Intl,Ask,Ask,100 boxes,"Suzhou Jiangsu",,"ISO 13485 / CE / TUV",Yes,acuneedle.en.alibaba.com,#1 INTL ESTABLISHED,"25+ years. Known brand in global acupuncture supply. Founded 1998."
EAR SEEDS,Wuxi Jihetang Health,Alibaba Intl,¥24.50-28.80/bag,$3.40-4.00/bag,50 bags,"Wuxi Jiangsu",,"SGS / CE / MEPS",Yes,jihetang.en.alibaba.com,#1 FOR INTL SAMPLES,"50 bags MOQ = best for testing. Public pricing. Crystal/rainbow."
EAR SEEDS,Suzhou HWATO (Yuwell subsidiary),Alibaba Intl,Ask,Ask,1000+,"Suzhou Jiangsu",,"FDA / TGA / CE / TUV / ISO",Yes,hwato.en.alibaba.com,#1 FOR US/AU,"ONLY supplier with FDA + TGA. 150+ years. Critical for US/Australia."
