Product,Supplier,Website,Alibaba URL,Location,Founded,MOQ (Test),MOQ (Production),Price Range,Key Capability,Certifications,Contact Email,Priority,Notes
MOUTH TAPE,HLK Tape (Quanzhou Honglinkai),hlktape.com,cnhlk.en.alibaba.com,"Quanzhou, Fujian",20+ years,10 pcs,1000+,$0.03-0.06/strip,Silicone + custom shapes,ISO 13485 / ISO 9001 / CE / FDA / TGA,Via Alibaba chat,#1 FOR SAMPLES,"Lowest MOQ. Free samples (pay $20-35 shipping). Dedicated project manager."
MOUTH TAPE,Anji Anshen (Anthrive),anjiansheng.com,anthrive.en.alibaba.com,"Huzhou, Zhejiang",1992 (30+ yrs),1 carton,50 cartons,$0.04-0.08/strip,Bamboo silk + silicone + wound dressing expertise,"CE MDR / ISO 13485 / FDA (TUV-verified)",Via Alibaba chat,#2 STRONGEST CREDS,"40000m2 factory. 50+ patents. Cleanroom production."
MOUTH TAPE,Nantong YOJO Medical,yojomedical.com,ntyojo.en.alibaba.com,"Nantong, Jiangsu",,1000 pcs,5000+,Ask,Bamboo silk + silicone + X-shape,"CE / ISO 9001 / ISO 13485 / FDA",Via Alibaba chat,#3,"Explicitly lists bamboo silk X-shape mouth tape."
MOUTH TAPE,Viva Tape,vivatape.com,No Alibaba store,"Yiwu / Shenzhen",,500 packs,2000+,Ask,Silicone gel + skincare infusion (HA),"ISO 13485 / ISO 9001 / TGA / FDA / CE",contact@vivatape.com,#1 FOR BIOACTIVE,"Already does silicone + skincare infusion. 2M pcs/day."
MOUTH TAPE,Hebei Kangcare (Kongdy),kangerkai.com,kangcare.en.alibaba.com,"Shijiazhuang, Hebei",,2000-5000 pcs,5000+,$0.04-0.05/strip,HA + Collagen mouth tape confirmed,"ISO / CE / FDA / MSDS / SGS",Via Alibaba chat,#2 FOR BIOACTIVE,"24/7 English support. HA + Collagen product listing."
TOOTH POWDER,Cinoll (Shenzhen Cinoll Technology),cinoll.com,No Alibaba store,"Shenzhen, Guangdong",2011,~1700 units,3000+,Request quote,nHA + probiotics CONFIRMED. #1 private label oral care,"FDA / CE / ISO 9001 / ISO 22716 / ISO 13485 / GMPc / Sedex",sales@cinoll.com,#1 BEST MATCH,"Both nHA AND probiotic capability confirmed. 7-day turnaround. Free samples."
TOOTH POWDER,LLRNCARE (Shenzhen),llrncare.com,llrncare.en.alibaba.com,"Shenzhen / Nanchang",2014,No MOQ,1000+,Request quote,"Teeth whitening powder (charcoal, PAP+, turmeric)","FDA / CE / CPSR / SGS",service@llrncare.com,#2 LOW BARRIER,"No MOQ — best for testing. nHA capability NOT confirmed."
TOOTH POWDER,Foshan Bangjie Daily Chemical,Not found,fsbangjie.en.alibaba.com,"Foshan, Guangdong",,Ultra-low,5000+,Request quote,Confirmed nHA formulas. 20000 sqm facility,Ask,Via Alibaba chat,#3 BACKUP,"Confirmed nano-hydroxyapatite."
TOOTH POWDER,JAZZ (dentalmfg),dentalmfg.com,No Alibaba store,"Guangzhou, Guangdong",2013,10000-20000,20000+,Request quote,Tooth powder specialist. R&D samples in 3 days,"ISO 22716 / SGS / TUV",1@dentalmfg.com,MOQ TOO HIGH,"MOQ 10k-20k too high for testing. Only if scaling."
HAIR INHIBITOR,Blackbird Skincare (Foshan),blackbirdskincare.com,birdtrading.en.alibaba.com,"Foshan, Guangdong","Factory: 2002",500-1000,3000+,Request quote,Already produces hair inhibitor serums. 4000+ formulas,"ISO 22716 / GMPC",web@blackbirdtrade.com,#1 BEST MATCH,"20+ years factory. Already in hair inhibitor category."
HAIR INHIBITOR,TY Cosmetic (Guangzhou),tyoemcosmetic.com,No Alibaba store,"Guangzhou, Guangdong",2009,2000,5000+,Request quote,"70-person R&D team. 8000+ formulas. 3 factories",GMP / Halal,Via website form,#2 R&D STRENGTH,"Best R&D for complex multi-active formulations."
HAIR INHIBITOR,Nako Cosmetics (TOYOLY),nakocos.com,naikou.en.alibaba.com,"Guangzhou, Guangdong",1998,1000-3000,5000-10000,Request quote,"280000 formula library. 25000 sqm. 77 lines. 20+ patents","ISO 9001 / ISO 22716 / ISO 14001 / CE / FDA",sales@nakocos.com,#3 SCALE + CERTS,"Largest and most established. Best for scaling."
